"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G35210",159.622442053685,1.74977842824357,0.16838795208378,10.3913516768289,2.71478158836195e-25,6.70652317603282e-25
"AT1G10410",2079.46588053382,-1.65614805620853,0.0575055242896062,-28.7998079605001,2.15686447712147e-182,1.71231658503452e-181
"AT1G73740",543.79054554697,0.713420332471863,0.0549489381420638,12.9833324645401,1.52115204340486e-38,4.45844912838294e-38
"AT1G53350",395.559652662085,1.74517781463116,0.0637478153629336,27.3762764213234,5.25661328604897e-165,3.80939334025376e-164
"AT1G34110",828.372521902089,-0.302558659587369,0.0479529476485738,-6.30949033216246,2.79955853111687e-10,5.19368575371319e-10
"AT1G17240",91.4761838401175,-1.91173790913062,0.142504893125636,-13.4152439765362,4.9231026242435e-41,1.48995572260777e-40
"AT1G61730",1193.84117428721,0.0042916907963246,0.0381294804829517,0.112555711275518,0.910382799119721,0.956722135333307
"AT1G29260",847.27113649785,0.301292363572312,0.050666332858574,5.94659898543112,2.73771007658727e-09,4.95670556246994e-09
"AT1G33890",8.44422645566465,-5.66639470134835,0.488962753785356,-11.5886019077759,4.70753748565163e-31,1.25693248664443e-30
"AT1G08040",914.322046127498,0.00835063579844377,0.0269169210535777,0.310237407236212,0.756380426024883,0.855870808651005
"AT1G63522",0.810187327777207,-2.48509551607688,0.609605127973861,-4.07656596383395,4.57056936937854e-05,7.17884095617056e-05
"AT1G08810",161.027147345046,5.05244730902381,0.156446654850289,32.2950165592146,8.21760016852348e-229,8.01860505693463e-228
"AT1G09210",9857.36477914738,-1.2450268540148,0.131567259652812,-9.46304466096091,2.99104576405433e-21,6.92722495493315e-21
"AT1G70080",4.8375970706446,-4.12054835720437,0.513798104035199,-8.01978116470838,1.05933721788376e-15,2.21292123473257e-15
"AT1G10522",420.816096232384,2.50539173695824,0.0690037085836966,36.3080737018558,1.20660447309804e-288,1.52036557254315e-287
"AT1G04570",45.6506097259859,-1.2128321759675,0.193487677571373,-6.26826571692201,3.65091400659743e-10,6.75409332027777e-10
"AT1G01830",717.754738028089,0.00432760863508551,0.0572040885218738,0.0756520861866492,0.939695896375521,0.970548128917045
"AT1G12340",1.93847471995753,3.17304421479808,0.546957126694862,5.80126679027308,6.58157857519992e-09,1.17927404334796e-08
"AT1G67590",751.346142086917,1.68975041873356,0.103953046027809,16.2549389681331,2.06073431561664e-59,7.42513446039509e-59
"AT1G69080",231.933353746598,-0.78164220878281,0.0671107863754798,-11.647042912142,2.37559837507401e-31,6.3681310949137e-31
"AT1G31400",0.573025320082027,0.209789103112997,0.734254593335246,0.285717113678595,0.775094796051084,0.872266731998495
"AT1G74385",0,NA,NA,NA,NA,NA
"AT1G73300",219.661630431819,-6.96112174187447,0.261384367053282,-26.6317447380297,2.91264131644806e-156,2.0345861610707e-155
"AT1G05760",0,NA,NA,NA,NA,NA
"AT1G30530",793.693560939766,3.18964129993987,0.125666048586305,25.3818858460349,3.99740459614466e-142,2.57888956968242e-141
"AT1G12480",36.7452108824609,7.96814341415838,0.46833625820201,17.01372309876,6.49743383095637e-65,2.45923517558607e-64
"AT1G76850",3215.07465664684,0.333189162104267,0.0255991015637584,13.0156584313871,9.96793748798347e-39,2.92963598555947e-38
"AT1G73570",207.505051371465,1.03829783439824,0.0582673428076292,17.8195501007521,4.98356924646405e-71,1.99855349050941e-70
"AT1G44130",80.0587831317345,-3.14469511227666,0.213706106639862,-14.7150456377744,5.16114039180766e-49,1.69807284842419e-48
"AT1G67340",967.520491199262,0.0517144896716472,0.0522619427915648,0.989524822640041,0.322406431174913,0.393422253117126
"AT1G80315",0,NA,NA,NA,NA,NA
"AT1G43666",0,NA,NA,NA,NA,NA
"AT1G08630",91.2653966739097,3.04659821538722,0.305327138617881,9.97814419372676,1.89986828342598e-23,4.55478078202835e-23
"AT1G66150",4799.26995092555,1.70815425675634,0.0667143590440023,25.6039971189666,1.37693456551484e-144,9.03476643212783e-144
"AT1G04640",809.873570196675,3.17853239495599,0.0714072331017301,44.5127511162308,0,0
"AT1G56500",3413.61150020425,4.5416745199567,0.0670533267058635,67.732277324274,0,0
